# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
8000000 33 27000
  1 1.09153 814.568 0.756365
  2 2.09153 825.256 0.766289
  3 3.09153 830.872 0.771504
  4 4.09153 841.212 0.781105
  5 5.09153 840.878 0.780795
  6 6.09153 834.5 0.774873
  7 7.09153 832.142 0.772683
  8 8.09153 837.658 0.777805
  9 9.09153 827.782 0.768635
  10 10.0915 823.908 0.765038
  11 11.0915 820.88 0.762226
  12 12.0915 816.782 0.758421
  13 13.0915 813.29 0.755178
  14 14.0915 815.84 0.757546
  15 15.0915 813.148 0.755046
  16 16.0915 812.62 0.754556
  17 17.0915 812.486 0.754432
  18 18.0915 818.114 0.759658
  19 19.0915 813.634 0.755498
  20 20.0915 823.884 0.765015
  21 21.0915 804.812 0.747306
  22 22.0915 811.618 0.753626
  23 23.0915 820.74 0.762096
  24 24.0915 825.522 0.766536
  25 25.0915 825.932 0.766917
  26 26.0915 819.31 0.760768
  27 27.0915 830.076 0.770765
  28 28.0915 820.672 0.762033
  29 29.0915 827.32 0.768206
  30 30.0915 834.936 0.775278
  31 31.0915 822.422 0.763658
  32 32.0915 818.192 0.75973
  33 33.0915 668.994 0.621193
9000000 33 54000
  1 1.09153 824.06 0.765179
  2 2.09153 827.329 0.768214
  3 3.09153 829.216 0.769966
  4 4.09153 831.689 0.772263
  5 5.09153 829.682 0.770399
  6 6.09153 823.466 0.764627
  7 7.09153 821.754 0.763037
  8 8.09153 825.529 0.766543
  9 9.09153 819.239 0.760702
  10 10.0915 816.957 0.758583
  11 11.0915 814.087 0.755918
  12 12.0915 816.75 0.758391
  13 13.0915 818.651 0.760156
  14 14.0915 815.681 0.757398
  15 15.0915 807.928 0.750199
  16 16.0915 814.679 0.756468
  17 17.0915 817.724 0.759295
  18 18.0915 821.495 0.762797
  19 19.0915 817.445 0.759036
  20 20.0915 822.494 0.763725
  21 21.0915 818.839 0.760331
  22 22.0915 816.391 0.758058
  23 23.0915 824.452 0.765543
  24 24.0915 825.744 0.766742
  25 25.0915 825.28 0.766311
  26 26.0915 818.979 0.760461
  27 27.0915 827.914 0.768757
  28 28.0915 822.657 0.763876
  29 29.0915 828.625 0.769417
  30 30.0915 837.327 0.777498
  31 31.0915 837.073 0.777262
  32 32.0915 826.61 0.767546
  33 33.0915 674.254 0.626077
10000000 33 81000
  1 1.09153 820.885 0.76223
  2 2.09153 821.861 0.763136
  3 3.09153 826.538 0.76748
  4 4.09153 829.239 0.769988
  5 5.09153 827.473 0.768348
  6 6.09153 824.294 0.765396
  7 7.09153 827.378 0.76826
  8 8.09153 827.702 0.76856
  9 9.09153 818.418 0.75994
  10 10.0915 823.424 0.764588
  11 11.0915 816.163 0.757846
  12 12.0915 815.716 0.757431
  13 13.0915 816.469 0.75813
  14 14.0915 820.129 0.761528
  15 15.0915 815.593 0.757317
  16 16.0915 820.089 0.761491
  17 17.0915 823.019 0.764212
  18 18.0915 828.138 0.768965
  19 19.0915 821.357 0.762669
  20 20.0915 827.169 0.768065
  21 21.0915 824.209 0.765317
  22 22.0915 819.966 0.761377
  23 23.0915 823.218 0.764397
  24 24.0915 824.045 0.765164
  25 25.0915 820.096 0.761498
  26 26.0915 815.115 0.756873
  27 27.0915 823.902 0.765032
  28 28.0915 821.689 0.762977
  29 29.0915 824.251 0.765356
  30 30.0915 827.114 0.768014
  31 31.0915 827.433 0.76831
  32 32.0915 824.103 0.765218
  33 33.0915 673.805 0.62566
11000000 33 108000
  1 1.09153 816.949 0.758576
  2 2.09153 821.733 0.763018
  3 3.09153 827.092 0.767994
  4 4.09153 826.979 0.767889
  5 5.09153 828.236 0.769056
  6 6.09153 826 0.76698
  7 7.09153 823.64 0.764789
  8 8.09153 828.938 0.769709
  9 9.09153 821.797 0.763077
  10 10.0915 822.634 0.763855
  11 11.0915 815.189 0.756942
  12 12.0915 814.072 0.755905
  13 13.0915 818.581 0.760091
  14 14.0915 819.918 0.761333
  15 15.0915 816.859 0.758492
  16 16.0915 823.309 0.764481
  17 17.0915 828.2 0.769023
  18 18.0915 828.833 0.769611
  19 19.0915 822.58 0.763804
  20 20.0915 829.955 0.770652
  21 21.0915 827.238 0.76813
  22 22.0915 824.674 0.765749
  23 23.0915 823.791 0.764929
  24 24.0915 822.146 0.763401
  25 25.0915 819.68 0.761112
  26 26.0915 816.87 0.758502
  27 27.0915 822.913 0.764114
  28 28.0915 819.982 0.761392
  29 29.0915 820.562 0.76193
  30 30.0915 822.618 0.763839
  31 31.0915 823.666 0.764812
  32 32.0915 821.934 0.763205
  33 33.0915 672.43 0.624383
12000000 33 135000
  1 1.09153 814.71 0.756497
  2 2.09153 817.832 0.759396
  3 3.09153 825.147 0.766188
  4 4.09153 825.36 0.766385
  5 5.09153 827.984 0.768822
  6 6.09153 826.501 0.767445
  7 7.09153 824.6 0.76568
  8 8.09153 830.173 0.770855
  9 9.09153 822.388 0.763626
  10 10.0915 824.806 0.765872
  11 11.0915 818.292 0.759823
  12 12.0915 816.191 0.757872
  13 13.0915 817.128 0.758742
  14 14.0915 819.138 0.760608
  15 15.0915 818.677 0.76018
  16 16.0915 824.245 0.765351
  17 17.0915 828.773 0.769555
  18 18.0915 829.64 0.77036
  19 19.0915 824.996 0.766047
  20 20.0915 830.536 0.771192
  21 21.0915 829.111 0.769869
  22 22.0915 826.89 0.767806
  23 23.0915 825.628 0.766635
  24 24.0915 823.255 0.764431
  25 25.0915 819.309 0.760767
  26 26.0915 815.914 0.757614
  27 27.0915 821.664 0.762954
  28 28.0915 819.322 0.76078
  29 29.0915 817.963 0.759517
  30 30.0915 819.602 0.761039
  31 31.0915 821.738 0.763023
  32 32.0915 820.914 0.762257
  33 33.0915 671.572 0.623586
