# Time-averaged data for fix rgnetA
# TimeStep c_gyrA
10000 31.6506
20000 31.6579
30000 31.6692
40000 31.6756
50000 31.6785
60000 31.6795
70000 31.683
80000 31.6867
90000 31.6895
100000 31.6911
110000 31.6916
120000 31.6936
130000 31.6924
140000 31.6916
150000 31.6901
160000 31.6883
170000 31.6867
180000 31.6847
190000 31.6808
200000 31.6763
210000 31.6741
220000 31.6732
230000 31.6718
240000 31.6714
250000 31.6716
260000 31.6714
270000 31.6705
280000 31.6688
290000 31.6669
300000 31.6661
310000 31.666
320000 31.666
330000 31.6655
340000 31.6657
350000 31.6656
360000 31.6656
370000 31.6659
380000 31.6659
390000 31.6661
400000 31.6671
410000 31.6682
420000 31.6688
430000 31.6684
440000 31.6681
450000 31.6678
460000 31.6678
470000 31.6674
480000 31.6673
490000 31.6672
500000 31.667
510000 31.6677
520000 31.6686
530000 31.6695
540000 31.6704
550000 31.6712
560000 31.6715
570000 31.6718
580000 31.6727
590000 31.6739
600000 31.6746
610000 31.6744
620000 31.6747
630000 31.6754
640000 31.6759
650000 31.6759
660000 31.6756
670000 31.6751
680000 31.6743
690000 31.6737
700000 31.6733
710000 31.6734
720000 31.6736
730000 31.6736
740000 31.6734
750000 31.6732
760000 31.6733
770000 31.6738
780000 31.6743
790000 31.6749
800000 31.6753
810000 31.6754
820000 31.6755
830000 31.6756
840000 31.6756
850000 31.6755
860000 31.6754
870000 31.6753
880000 31.6754
890000 31.6755
900000 31.6756
910000 31.6755
920000 31.6758
930000 31.6763
940000 31.6771
950000 31.6783
960000 31.6794
970000 31.6801
980000 31.6808
990000 31.6815
1000000 31.6825
1010000 31.6837
1020000 31.6846
1030000 31.6853
1040000 31.6863
1050000 31.6873
1060000 31.6884
1070000 31.6895
1080000 31.6904
1090000 31.6913
1100000 31.692
1110000 31.6927
1120000 31.6937
1130000 31.6946
1140000 31.6959
1150000 31.6972
1160000 31.698
1170000 31.6986
1180000 31.6993
1190000 31.7
1200000 31.7006
1210000 31.7012
1220000 31.7017
1230000 31.7023
1240000 31.7027
1250000 31.7028
1260000 31.7028
1270000 31.7026
1280000 31.7022
1290000 31.7021
1300000 31.7019
1310000 31.7019
1320000 31.7019
1330000 31.7016
1340000 31.7012
1350000 31.7007
1360000 31.7004
1370000 31.7002
1380000 31.7
1390000 31.6996
1400000 31.6989
1410000 31.6982
1420000 31.6976
1430000 31.697
1440000 31.6964
1450000 31.6957
1460000 31.6952
1470000 31.6947
1480000 31.6942
1490000 31.6937
1500000 31.693
1510000 31.6923
1520000 31.6915
1530000 31.6911
1540000 31.6909
1550000 31.6907
1560000 31.6903
1570000 31.6903
1580000 31.6903
1590000 31.69
1600000 31.6895
1610000 31.689
1620000 31.6885
1630000 31.6882
1640000 31.6879
1650000 31.6876
1660000 31.687
1670000 31.6866
1680000 31.6863
1690000 31.6858
1700000 31.6856
1710000 31.6853
1720000 31.6849
1730000 31.6848
1740000 31.6847
1750000 31.6845
1760000 31.6844
1770000 31.6843
1780000 31.6842
1790000 31.6843
1800000 31.6844
1810000 31.6844
1820000 31.6844
1830000 31.6846
1840000 31.6845
1850000 31.6846
1860000 31.6849
1870000 31.6847
1880000 31.6847
1890000 31.6845
1900000 31.6843
1910000 31.6839
1920000 31.6836
1930000 31.6833
1940000 31.6831
1950000 31.6827
1960000 31.6824
1970000 31.682
1980000 31.6817
1990000 31.6813
2000000 31.6811
2010000 31.6809
